id,title,description,link,image_link,price,availability,condition,brand,google_product_category,product_type,mpn,shipping
acura-door-001,"Used Acura Door Assembly - OEM Quality | AUAPW.ORG","Complete used Acura door assemblies. Includes glass, regulator, handle, and lock.",https://www.auapw.org/makes/acura/parts/door-assembly,https://www.auapw.org/images/parts/seat-front-used.jpg,400.00 USD,in stock,used,Acura,5613,"Auto Parts > Body Parts > Door Assembly",,US:Standard:0 USD
acura-fender-001,"Used Acura Fender - OEM Quality | AUAPW.ORG","Used Acura fenders. OEM quality, minimal damage, multiple colors available.",https://www.auapw.org/makes/acura/parts/fender,https://www.auapw.org/images/parts/seat-front-used.jpg,200.00 USD,in stock,used,Acura,5613,"Auto Parts > Body Parts > Fender",,US:Standard:0 USD
acura-hood-001,"Used Acura Hood - OEM Quality | AUAPW.ORG","Used Acura hoods. OEM quality, straight, no major dents or rust.",https://www.auapw.org/makes/acura/parts/hood,https://www.auapw.org/images/parts/seat-front-used.jpg,300.00 USD,in stock,used,Acura,5613,"Auto Parts > Body Parts > Hood",,US:Standard:0 USD
acura-brake-caliper-001,"Used Acura Brake Caliper - OEM Quality | AUAPW.ORG","Used Acura brake calipers. Inspected, no leaks, with bracket.",https://www.auapw.org/makes/acura/parts/brake-caliper,https://www.auapw.org/images/parts/abs-module-used.jpg,100.00 USD,in stock,used,Acura,5613,"Auto Parts > Brakes > Brake Caliper",,US:Standard:0 USD
acura-abs-module-001,"Used Acura ABS Module - OEM Quality | AUAPW.ORG","Used Acura ABS control modules. Tested, no fault codes, plug-and-play.",https://www.auapw.org/makes/acura/parts/abs-module,https://www.auapw.org/images/parts/abs-module-used.jpg,250.00 USD,in stock,used,Acura,5613,"Auto Parts > Brakes > ABS Module",,US:Standard:0 USD
acura-seat-001,"Used Acura Seat - OEM Quality | AUAPW.ORG","Used Acura seats. Front and rear, leather and cloth, with tracks and motors.",https://www.auapw.org/makes/acura/parts/seat,https://www.auapw.org/images/parts/seat-front-used.jpg,250.00 USD,in stock,used,Acura,5613,"Auto Parts > Interior > Seat",,US:Standard:0 USD
acura-dashboard-001,"Used Acura Dashboard - OEM Quality | AUAPW.ORG","Used Acura dashboards. No cracks, complete with vents and trim.",https://www.auapw.org/makes/acura/parts/dashboard,https://www.auapw.org/images/parts/speedometer-used.jpg,300.00 USD,in stock,used,Acura,5613,"Auto Parts > Interior > Dashboard",,US:Standard:0 USD
acura-steering-wheel-001,"Used Acura Steering Wheel - OEM Quality | AUAPW.ORG","Used Acura steering wheels. Leather wrapped, with controls, airbag available.",https://www.auapw.org/makes/acura/parts/steering-wheel,https://www.auapw.org/images/parts/speedometer-used.jpg,149.99 USD,in stock,used,Acura,5613,"Auto Parts > Interior > Steering Wheel",,US:Standard:0 USD
acura-catalytic-converter-001,"Used Acura Catalytic Converter - OEM Quality | AUAPW.ORG","Used Acura catalytic converters. Tested, meets emissions, with heat shields.",https://www.auapw.org/makes/acura/parts/catalytic-converter,https://www.auapw.org/images/parts/engine-used.jpg,350.00 USD,in stock,used,Acura,5613,"Auto Parts > Exhaust > Catalytic Converter",,US:Standard:0 USD
acura-exhaust-manifold-001,"Used Acura Exhaust Manifold - OEM Quality | AUAPW.ORG","Used Acura exhaust manifolds. No cracks, includes gaskets and hardware.",https://www.auapw.org/makes/acura/parts/exhaust-manifold,https://www.auapw.org/images/parts/engine-used.jpg,200.00 USD,in stock,used,Acura,5613,"Auto Parts > Exhaust > Exhaust Manifold",,US:Standard:0 USD
acura-power-steering-pump-001,"Used Acura Power Steering Pump - OEM Quality | AUAPW.ORG","Used Acura power steering pumps. Tested, no leaks, with reservoir.",https://www.auapw.org/makes/acura/parts/power-steering-pump,https://www.auapw.org/images/parts/starter-used.jpg,149.99 USD,in stock,used,Acura,5613,"Auto Parts > Steering > Power Steering Pump",,US:Standard:0 USD
acura-steering-rack-001,"Used Acura Steering Rack - OEM Quality | AUAPW.ORG","Used Acura steering racks. Tested, no leaks, includes inner tie rods.",https://www.auapw.org/makes/acura/parts/steering-rack,https://www.auapw.org/images/parts/abs-module-used.jpg,300.00 USD,in stock,used,Acura,5613,"Auto Parts > Steering > Steering Rack",,US:Standard:0 USD
acura-wheel-rim-001,"Used Acura Wheel / Rim - OEM Quality | AUAPW.ORG","Used Acura wheels and rims. OEM alloy and steel, multiple sizes available.",https://www.auapw.org/makes/acura/parts/wheel-rim,https://www.auapw.org/images/parts/wheel-rim-used.jpg,250.00 USD,in stock,used,Acura,5613,"Auto Parts > Wheels > Wheel / Rim",,US:Standard:0 USD
